Unemployment_Rate : Urban,,,
Region, Date, Frequency,Value
Andhra Pradesh, 30-04-2020, M,32.3
Andhra Pradesh, 31-05-2020, M,24.64
Andhra Pradesh, 30-06-2020, M,5.85
Andhra Pradesh, 31-07-2020, M,9.81
Andhra Pradesh, 31-08-2020, M,9.54
Andhra Pradesh, 30-09-2020, M,8.68
Andhra Pradesh, 31-10-2020, M,6.82
Andhra Pradesh, 30-11-2020, M,9.14
Andhra Pradesh, 31-12-2020, M,7.2
Andhra Pradesh, 31-01-2021, M,8.07
Andhra Pradesh, 28-02-2021, M,5.13
Andhra Pradesh, 31-03-2021, M,7.04
Assam, 30-04-2020, M,8.37
Assam, 31-05-2020, M,10.77
Assam, 30-06-2020, M,3.42
Assam, 31-07-2020, M,5.85
Assam, 31-08-2020, M,8.21
Assam, 30-09-2020, M,3.42
Assam, 31-10-2020, M,3.48
Assam, 30-11-2020, M,2.69
Assam, 31-12-2020, M,0.76
Assam, 31-01-2021, M,0.94
Assam, 28-02-2021, M,2.41
Assam, 31-03-2021, M,0.68
Bihar, 30-04-2020, M,58.77
Bihar, 31-05-2020, M,35.99
Bihar, 30-06-2020, M,12.61
Bihar, 31-07-2020, M,17.93
Bihar, 31-08-2020, M,21.5
Bihar, 30-09-2020, M,17.83
Bihar, 31-10-2020, M,11.04
Bihar, 30-11-2020, M,15.14
Bihar, 31-12-2020, M,18.05
Bihar, 31-01-2021, M,16.87
Bihar, 28-02-2021, M,13.46
Bihar, 31-03-2021, M,18.17
Chandigarh, 31-05-2020, M,16.84
Chandigarh, 30-06-2020, M,6.56
Chandigarh, 31-07-2020, M,8.26
Chandigarh, 31-08-2020, M,8.82
Chandigarh, 30-09-2020, M,3.41
Chandigarh, 31-10-2020, M,4.35
Chandigarh, 30-11-2020, M,8.65
Chandigarh, 31-12-2020, M,4.76
Chandigarh, 31-01-2021, M,7.84
Chandigarh, 28-02-2021, M,4.85
Chandigarh, 31-03-2021, M,8.41
Chhattisgarh, 30-04-2020, M,20.13
Chhattisgarh, 31-05-2020, M,19.35
Chhattisgarh, 30-06-2020, M,25.73
Chhattisgarh, 31-07-2020, M,3.4
Chhattisgarh, 31-08-2020, M,4.21
Chhattisgarh, 30-09-2020, M,5.24
Chhattisgarh, 31-10-2020, M,8.18
Chhattisgarh, 30-11-2020, M,4.24
Chhattisgarh, 31-12-2020, M,5.26
Chhattisgarh, 31-01-2021, M,5.28
Chhattisgarh, 28-02-2021, M,6.47
Chhattisgarh, 31-03-2021, M,3.32
Delhi, 30-04-2020, M,16.51
Delhi, 31-05-2020, M,43.02
Delhi, 30-06-2020, M,18.11
Delhi, 31-07-2020, M,20.43
Delhi, 31-08-2020, M,13.62
Delhi, 30-09-2020, M,12.64
Delhi, 31-10-2020, M,6.19
Delhi, 30-11-2020, M,6.55
Delhi, 31-12-2020, M,7.49
Delhi, 31-01-2021, M,12.57
Delhi, 28-02-2021, M,8.02
Delhi, 31-03-2021, M,9.37
Goa, 30-04-2020, M,11.76
Goa, 31-07-2020, M,17.5
Goa, 30-09-2020, M,21.78
Goa, 31-10-2020, M,6.12
Goa, 30-11-2020, M,16.95
Goa, 31-12-2020, M,10.53
Goa, 31-01-2021, M,20
Goa, 28-02-2021, M,20
Goa, 31-03-2021, M,15.38
Gujarat, 30-04-2020, M,25.94
Gujarat, 31-05-2020, M,11.22
Gujarat, 30-06-2020, M,5.42
Gujarat, 31-07-2020, M,3.47
Gujarat, 31-08-2020, M,2.99
Gujarat, 30-09-2020, M,3.67
Gujarat, 31-10-2020, M,5.68
Gujarat, 30-11-2020, M,2.79
Gujarat, 31-12-2020, M,5.09
Gujarat, 31-01-2021, M,3.31
Gujarat, 28-02-2021, M,3.35
Gujarat, 31-03-2021, M,2.18
Haryana, 30-04-2020, M,46.89
Haryana, 31-05-2020, M,38.46
Haryana, 30-06-2020, M,28.39
Haryana, 31-07-2020, M,34.05
Haryana, 31-08-2020, M,36.05
Haryana, 30-09-2020, M,28.8
Haryana, 31-10-2020, M,21.09
Haryana, 30-11-2020, M,38.12
Haryana, 31-12-2020, M,37.82
Haryana, 31-01-2021, M,27.96
Haryana, 28-02-2021, M,19.55
Haryana, 31-03-2021, M,37.27
Himachal Pradesh, 30-04-2020, M,2.7
Himachal Pradesh, 31-05-2020, M,38.35
Himachal Pradesh, 30-06-2020, M,18.75
Himachal Pradesh, 31-07-2020, M,26.55
Himachal Pradesh, 31-08-2020, M,27.4
Himachal Pradesh, 30-09-2020, M,11.84
Himachal Pradesh, 31-10-2020, M,13.81
Himachal Pradesh, 30-11-2020, M,18.18
Himachal Pradesh, 31-12-2020, M,14.67
Himachal Pradesh, 31-01-2021, M,12.61
Himachal Pradesh, 28-02-2021, M,16.22
Himachal Pradesh, 31-03-2021, M,17.24
Jammu & Kashmir, 31-05-2020, M,12.96
Jammu & Kashmir, 31-07-2020, M,7.89
Jammu & Kashmir, 31-08-2020, M,13.84
Jammu & Kashmir, 30-09-2020, M,14.93
Jammu & Kashmir, 31-10-2020, M,9.43
Jammu & Kashmir, 30-11-2020, M,12.88
Jammu & Kashmir, 31-12-2020, M,24.8
Jammu & Kashmir, 31-01-2021, M,25
Jammu & Kashmir, 28-02-2021, M,15.69
Jammu & Kashmir, 31-03-2021, M,10
Jharkhand, 30-04-2020, M,61.48
Jharkhand, 31-05-2020, M,70.17
Jharkhand, 30-06-2020, M,19.25
Jharkhand, 31-07-2020, M,5.64
Jharkhand, 31-08-2020, M,19.11
Jharkhand, 30-09-2020, M,13.84
Jharkhand, 31-10-2020, M,13.41
Jharkhand, 30-11-2020, M,13.46
Jharkhand, 31-12-2020, M,19.67
Jharkhand, 31-01-2021, M,19.22
Jharkhand, 28-02-2021, M,16.57
Jharkhand, 31-03-2021, M,12.7
Karnataka, 30-04-2020, M,25.12
Karnataka, 31-05-2020, M,14.9
Karnataka, 30-06-2020, M,3.75
Karnataka, 31-07-2020, M,3.06
Karnataka, 31-08-2020, M,1.24
Karnataka, 30-09-2020, M,2.02
Karnataka, 31-10-2020, M,2.3
Karnataka, 30-11-2020, M,1.45
Karnataka, 31-12-2020, M,1.79
Karnataka, 31-01-2021, M,2.44
Karnataka, 28-02-2021, M,2.45
Karnataka, 31-03-2021, M,1.43
Kerala, 30-04-2020, M,21.43
Kerala, 31-05-2020, M,21.54
Kerala, 30-06-2020, M,9.01
Kerala, 31-07-2020, M,4.2
Kerala, 31-08-2020, M,5.97
Kerala, 30-09-2020, M,5.03
Kerala, 31-10-2020, M,4.23
Kerala, 30-11-2020, M,4.55
Kerala, 31-12-2020, M,6.51
Kerala, 31-01-2021, M,5.53
Kerala, 28-02-2021, M,4.16
Kerala, 31-03-2021, M,4.97
Madhya Pradesh, 30-04-2020, M,11.94
Madhya Pradesh, 31-05-2020, M,20.89
Madhya Pradesh, 30-06-2020, M,9.96
Madhya Pradesh, 31-07-2020, M,10.1
Madhya Pradesh, 31-08-2020, M,5.91
Madhya Pradesh, 30-09-2020, M,8.43
Madhya Pradesh, 31-10-2020, M,5.49
Madhya Pradesh, 30-11-2020, M,6.72
Madhya Pradesh, 31-12-2020, M,2.07
Madhya Pradesh, 31-01-2021, M,7.64
Madhya Pradesh, 28-02-2021, M,3.43
Madhya Pradesh, 31-03-2021, M,2.89
Maharashtra, 30-04-2020, M,14.99
Maharashtra, 31-05-2020, M,15.15
Maharashtra, 30-06-2020, M,9.41
Maharashtra, 31-07-2020, M,4.98
Maharashtra, 31-08-2020, M,8.06
Maharashtra, 30-09-2020, M,6.58
Maharashtra, 31-10-2020, M,5.9
Maharashtra, 30-11-2020, M,3.53
Maharashtra, 31-12-2020, M,4.85
Maharashtra, 31-01-2021, M,4.6
Maharashtra, 28-02-2021, M,4.65
Maharashtra, 31-03-2021, M,4.73
Meghalaya, 30-04-2020, M,17.39
Meghalaya, 31-05-2020, M,14.58
Meghalaya, 31-07-2020, M,4.35
Meghalaya, 31-08-2020, M,5.08
Meghalaya, 30-09-2020, M,8.96
Meghalaya, 31-10-2020, M,6.67
Meghalaya, 30-11-2020, M,6.02
Meghalaya, 31-12-2020, M,12.12
Meghalaya, 31-01-2021, M,6.35
Meghalaya, 28-02-2021, M,3.49
Meghalaya, 31-03-2021, M,3.87
Odisha, 30-04-2020, M,20.5
Odisha, 31-05-2020, M,8.16
Odisha, 30-06-2020, M,1.58
Odisha, 31-07-2020, M,0
Odisha, 31-08-2020, M,1.11
Odisha, 30-09-2020, M,2.42
Odisha, 31-10-2020, M,0.2
Odisha, 30-11-2020, M,0.78
Odisha, 31-12-2020, M,0.95
Odisha, 31-01-2021, M,3.69
Odisha, 28-02-2021, M,3.12
Odisha, 31-03-2021, M,1.51
Puducherry, 30-04-2020, M,76.74
Puducherry, 31-05-2020, M,75
Puducherry, 30-06-2020, M,4.55
Puducherry, 31-07-2020, M,11.11
Puducherry, 31-08-2020, M,6.25
Puducherry, 30-09-2020, M,11.9
Puducherry, 31-10-2020, M,5.23
Puducherry, 30-11-2020, M,2.03
Puducherry, 31-12-2020, M,4.23
Puducherry, 31-01-2021, M,6.83
Puducherry, 28-02-2021, M,4.61
Puducherry, 31-03-2021, M,1.33
Punjab, 30-04-2020, M,1.13
Punjab, 31-05-2020, M,17.47
Punjab, 30-06-2020, M,9.64
Punjab, 31-07-2020, M,9.33
Punjab, 31-08-2020, M,12.96
Punjab, 30-09-2020, M,4.66
Punjab, 31-10-2020, M,7.56
Punjab, 30-11-2020, M,7.68
Punjab, 31-12-2020, M,8.52
Punjab, 31-01-2021, M,3.84
Punjab, 28-02-2021, M,4.95
Punjab, 31-03-2021, M,8.01
Rajasthan, 30-04-2020, M,35.53
Rajasthan, 31-05-2020, M,30.76
Rajasthan, 30-06-2020, M,18.36
Rajasthan, 31-07-2020, M,19.55
Rajasthan, 31-08-2020, M,25.02
Rajasthan, 30-09-2020, M,24.77
